id,level,unit,kind,promptLine,correct,correctText
hsk1-001,HSK1,,vocab,nǐ hǎo — 你好,A,Hello
hsk1-002,HSK1,,vocab,zài jiàn — 再见,B,Goodbye
hsk1-003,HSK1,,vocab,xiè xie — 谢谢,C,Thank you
hsk1-004,HSK1,,vocab,wǒ — 我,C,I/Me
hsk1-005,HSK1,,vocab,nǐ — 你,B,You
hsk1-006,HSK1,,vocab,tā — 他,C,He/Him
hsk1-007,HSK1,,vocab,shì — 是,A,To be
hsk1-008,HSK1,,vocab,yǒu — 有,B,To have
hsk1-009,HSK1,,vocab,bù — 不,B,Not/No
hsk1-010,HSK1,,vocab,de — 的,A,Marks possession
hsk1-011,HSK1,,vocab,men — 们,B,Makes pronouns plural
hsk1-012,HSK1,,vocab,hěn — 很,B,Very
hsk1-013,HSK1,,vocab,yě — 也,C,Also/Too
hsk1-014,HSK1,,vocab,rén — 人,A,Person
hsk1-015,HSK1,,vocab,zhōng guó — 中国,B,China
hsk1-016,HSK1,,vocab,míng zi — 名字,B,Name
hsk1-017,HSK1,,vocab,shén me — 什么,C,What
hsk1-018,HSK1,,vocab,shuí — 谁,B,Who
hsk1-019,HSK1,,vocab,nǎ — 哪,C,Which
hsk1-020,HSK1,,vocab,zhè — 这,B,This
hsk1-021,HSK1,,vocab,nà — 那,C,That
hsk1-022,HSK1,,vocab,yī — 一,A,One
hsk1-023,HSK1,,vocab,èr — 二,B,Two
hsk1-024,HSK1,,vocab,sān — 三,B,Three
hsk1-025,HSK1,,vocab,sì — 四,B,Four
hsk1-026,HSK1,,vocab,wǔ — 五,B,Five
hsk1-027,HSK1,,vocab,liù — 六,B,Six
hsk1-028,HSK1,,vocab,qī — 七,B,Seven
hsk1-029,HSK1,,vocab,bā — 八,B,Eight
hsk1-030,HSK1,,vocab,jiǔ — 九,B,Nine
hsk1-031,HSK1,,vocab,shí — 十,B,Ten
hsk1-032,HSK1,,vocab,ài — 爱,C,To love
hsk1-033,HSK1,,vocab,chī — 吃,B,To eat
hsk1-034,HSK1,,vocab,hē — 喝,B,To drink
hsk1-035,HSK1,,phrase,duì bu qǐ — 对不起,B,Sorry
hsk1-036,HSK1,,phrase,méi guān xi — 没关系,B,It doesn't matter
hsk1-037,HSK1,,sentence,wǒ ài nǐ — 我爱你,B,I love you
hsk1-038,HSK1,,vocab,lái — 来,B,To come
hsk1-039,HSK1,,vocab,qù — 去,B,To go
hsk1-040,HSK1,,contrast,lái vs qù — 来 vs 去,B,"来 = to come, 去 = to go"
hsk1-041,HSK1,,vocab,dà — 大,B,Big
hsk1-042,HSK1,,vocab,xiǎo — 小,B,Small
hsk1-043,HSK1,,contrast,dà vs xiǎo — 大 vs 小,B,"大 = big, 小 = small (opposites)"
hsk1-044,HSK1,,vocab,hǎo — 好,B,Good
hsk1-045,HSK1,,vocab,duō — 多,B,Many/Much
hsk1-046,HSK1,,vocab,shǎo — 少,B,Few/Little
hsk1-047,HSK1,,contrast,duō vs shǎo — 多 vs 少,B,"多 = many, 少 = few (opposites)"
hsk1-048,HSK1,,sentence,nǐ hǎo ma — 你好吗,B,How are you?
hsk1-049,HSK1,,sentence,wǒ hěn hǎo — 我很好,B,I'm very good/well
hsk1-050,HSK1,,phrase,bú kè qi — 不客气,B,You're welcome
hsk1-051,HSK1,,vocab,kàn — 看,B,To look/watch
hsk1-052,HSK1,,vocab,tīng — 听,C,To listen
hsk1-053,HSK1,,vocab,shuō — 说,C,To speak
hsk1-054,HSK1,,vocab,xiě — 写,C,To write
hsk1-055,HSK1,,vocab,dú — 读,B,To read
hsk1-056,HSK1,,vocab,zuò — 坐,B,To sit
hsk1-057,HSK1,,vocab,zhàn — 站,C,To stand
hsk1-058,HSK1,,contrast,zuò vs zhàn — 坐 vs 站,A,"坐 = to sit, 站 = to stand"
hsk1-059,HSK1,,vocab,rèn shi — 认识,B,To know (people)
hsk1-060,HSK1,,vocab,zhī dào — 知道,B,To know (facts)
hsk1-061,HSK1,,contrast,zhī dào vs rèn shi — 知道 vs 认识,B,"知道 = know facts, 认识 = know people"
hsk1-062,HSK1,,vocab,huì — 会,B,To can/know how to
hsk1-063,HSK1,,vocab,néng — 能,A,To be able to/can
hsk1-064,HSK1,,vocab,xiǎng — 想,A,To think/want
hsk1-065,HSK1,,vocab,mǎi — 买,B,To buy
hsk1-066,HSK1,,vocab,mài — 卖,B,To sell
hsk1-067,HSK1,,contrast,mǎi vs mài — 买 vs 卖,B,"买 = to buy, 卖 = to sell"
hsk1-068,HSK1,,vocab,kāi — 开,B,To open
hsk1-069,HSK1,,vocab,guān — 关,C,To close
hsk1-070,HSK1,,vocab,xuésheng — 学生,B,Student
hsk1-071,HSK1,,vocab,lǎo shī — 老师,B,Teacher
hsk1-072,HSK1,,vocab,yī shēng — 医生,C,Doctor
hsk1-073,HSK1,,vocab,péng you — 朋友,B,Friend
hsk1-074,HSK1,,vocab,jiā — 家,C,Home/Family
hsk1-075,HSK1,,vocab,xué xiào — 学校,B,School
hsk1-076,HSK1,,vocab,shāng diàn — 商店,B,Store/Shop
hsk1-077,HSK1,,vocab,fàn diàn — 饭店,C,Restaurant
hsk1-078,HSK1,,vocab,shuǐ — 水,B,Water
hsk1-079,HSK1,,vocab,chá — 茶,C,Tea
hsk1-080,HSK1,,vocab,mǐ fàn — 米饭,B,Rice
hsk1-081,HSK1,,vocab,miàn tiáo — 面条,B,Noodles
hsk1-082,HSK1,,vocab,cài — 菜,C,Dish/Vegetable
hsk1-083,HSK1,,vocab,píng guǒ — 苹果,B,Apple
hsk1-084,HSK1,,vocab,jīn tiān — 今天,B,Today
hsk1-085,HSK1,,vocab,míng tiān — 明天,C,Tomorrow
hsk1-086,HSK1,,vocab,zuó tiān — 昨天,C,Yesterday
hsk1-087,HSK1,,vocab,xiàn zài — 现在,C,Now
hsk1-088,HSK1,,vocab,nián — 年,C,Year
hsk1-089,HSK1,,vocab,yuè — 月,B,Month/Moon
hsk1-090,HSK1,,vocab,tiān — 天,B,Sky/Day
hsk1-091,HSK1,,vocab,xīng qī — 星期,B,Week
hsk1-092,HSK1,,vocab,shàng wǔ — 上午,B,Morning
hsk1-093,HSK1,,vocab,xià wǔ — 下午,B,Afternoon
hsk1-094,HSK1,,contrast,shàng wǔ vs xià wǔ — 上午 vs 下午,B,"上午 = morning, 下午 = afternoon"
hsk1-095,HSK1,,sentence,nǐ chī fàn le ma — 你吃饭了吗,B,Have you eaten?
hsk1-096,HSK1,,sentence,wǒ qù xuéxiào — 我去学校,B,I go to school
hsk1-097,HSK1,,sentence,tā shì xuésheng — 她是学生,B,She is a student
hsk1-098,HSK1,,phrase,duō shao qián — 多少钱,B,How much money?
hsk1-099,HSK1,,phrase,zài nǎr — 在哪儿,C,Where is it?
hsk1-100,HSK1,,sentence,wǒ bù zhī dào — 我不知道,B,I don't know
hsk1-101,HSK1,,vocab,běn — 本,C,Measure word for books
hsk1-102,HSK1,,vocab,bēi — 杯,B,Cup
hsk1-103,HSK1,,vocab,cài — 菜,A,Dish/Vegetable
hsk1-104,HSK1,,vocab,diǎn — 点,C,O'clock
hsk1-105,HSK1,,vocab,diàn nǎo — 电脑,B,Computer
hsk1-106,HSK1,,vocab,diàn shì — 电视,B,Television
hsk1-107,HSK1,,vocab,diàn yǐng — 电影,C,Movie
hsk1-108,HSK1,,vocab,dōng xi — 东西,B,Thing/Stuff
hsk1-109,HSK1,,vocab,duì — 对,B,Right/Correct
hsk1-110,HSK1,,vocab,duō — 多,B,Many/Much
hsk1-111,HSK1,,vocab,ér zi — 儿子,B,Son
hsk1-112,HSK1,,vocab,fàn guǎn — 饭馆,B,Restaurant
hsk1-113,HSK1,,vocab,gāo xìng — 高兴,C,Happy
hsk1-114,HSK1,,vocab,gè — 个,B,General measure word
hsk1-115,HSK1,,vocab,gōng zuò — 工作,B,Work/Job
